City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,pailon,-17.65,-62.75,303.65,26,1,6.25,BO,1717694550
84,chilapa de alvarez,17.6,-99.1667,305.24,22,72,1.18,MX,1717694551
85,saint-philippe,-21.3585,55.7679,294.92,82,49,5.96,RE,1717694552
86,choibalsan,48.0667,114.5,285.63,44,29,3.79,MN,1717694553
87,mount isa,-20.7333,139.5,282.02,71,0,3.09,AU,1717694553
88,koryazhma,61.3143,47.1691,291.99,80,100,1.66,RU,1717694554
89,sisteron,44.1876,5.9462,298.49,61,85,1.95,FR,1717694555
90,naco,31.3347,-109.9483,306.93,17,84,1.13,MX,1717694555
91,kavaratti,10.5669,72.642,301.65,84,100,3.46,IN,1717694351
92,kabo,7.6994,18.629,305.75,36,49,1.17,CF,1717694557
93,salalah,17.0151,54.0924,303.2,84,40,3.6,OM,1717694558
94,yellowknife,62.456,-114.3525,284.49,80,100,7.2,CA,1717694559
95,mkushi,-13.6202,29.3939,293.08,38,3,3.02,ZM,1717694559
96,kandyagash,49.4744,57.4233,293.01,71,66,2.38,KZ,1717694560
97,buckeye,33.3703,-112.5838,311.85,14,10,2.76,US,1717694472
98,bunia,1.5667,30.25,292.09,89,76,0.47,CD,1717694561
99,nagqu,31.5,92.0,278.59,71,98,3.15,CN,1717694562
100,armacao de buzios,-22.7469,-41.8817,300.18,76,3,6.45,BR,1717694286
101,luwuk,-0.9516,122.7875,295.68,82,93,1.65,ID,1717694564
102,bredasdorp,-34.5322,20.0403,285.37,84,100,3.62,ZA,1717694565
103,palikir - national government center,6.9248,158.1611,300.87,79,84,6.01,FM,1717694565
104,rajapur,25.3833,81.15,312.46,15,0,2.92,IN,1717694566
105,walvis bay,-22.9575,14.5053,289.68,72,0,7.72,NA,1717694566
106,natal,-5.795,-35.2094,302.51,65,75,7.2,BR,1717694391
107,massakory,12.996,15.7293,310.27,26,9,4.23,TD,1717694568
108,fort mcmurray,56.7268,-111.381,284.92,87,100,4.63,CA,1717694275
109,yemetsk,63.4721,41.7941,291.85,62,0,2.23,RU,1717694569
110,vorgashor,67.5833,63.95,271.93,88,53,1.91,RU,1717694570
111,malango,-2.9627,119.9001,291.68,96,100,1.08,ID,1717694571
112,udachny,66.4167,112.4,284.51,91,100,4.32,RU,1717694571
113,nar'yan-mar,67.6713,53.087,274.88,98,100,4.02,RU,1717694572
114,bathsheba,13.2167,-59.5167,302.49,84,75,5.66,BB,1717694572
115,acarau,-2.8856,-40.12,301.98,73,46,5.63,BR,1717694573
116,isafjordur,66.0755,-23.124,278.17,70,100,8.23,IS,1717694410
117,al jawf,29.5,38.75,309.89,9,0,4.46,SA,1717694574
